technical_name (use with ::give),display_name,cert_of,source_file
3dose1magic,Magic potion(3),,scripts/_unpack/377/all.obj
3dose1strength,Strength potion(3),,scripts/_unpack/377/all.obj
3dose2antipoison,Superantipoison(3),,scripts/_unpack/377/all.obj
3dose2attack,Super attack(3),,scripts/_unpack/377/all.obj
3dose2defense,Super defence(3),,scripts/_unpack/377/all.obj
3dose2energy,Super energy(3),,scripts/_unpack/377/all.obj
3dose2restore,Super restore(3),,scripts/_unpack/377/all.obj
3dose2strength,Super strength(3),,scripts/_unpack/377/all.obj
3doseantipoison,Antipoison(3),,scripts/_unpack/377/all.obj
3dosefisherspotion,Fishing potion(3),,scripts/_unpack/377/all.obj
3dosepotionofsaradomin,Saradomin brew(3),,scripts/_unpack/377/all.obj
3dosepotionofzamorak,Zamorak brew(3),,scripts/_unpack/377/all.obj
3doseprayerrestore,Prayer potion(3),,scripts/_unpack/377/all.obj
3doserangerspotion,Ranging potion(3),,scripts/_unpack/377/all.obj
3dosestatrestore,Restore potion(3),,scripts/_unpack/377/all.obj
41_wind_blast,,,scripts/_unpack/377/all.obj
43_superheat_item,,,scripts/_unpack/377/all.obj
45_camelot_teleport,,,scripts/_unpack/377/all.obj
47_water_blast,,,scripts/_unpack/377/all.obj
49_enchant_amulet_lvl3,,,scripts/_unpack/377/all.obj
4dose1agility,Agility potion(4),,scripts/_unpack/377/all.obj
4dose1antidragon,Antifire potion(4),,scripts/_unpack/377/all.obj
4dose1attack,Attack potion(4),,scripts/_unpack/377/all.obj
4dose1defense,Defence potion(4),,scripts/_unpack/377/all.obj
4dose1energy,Energy potion(4),,scripts/_unpack/377/all.obj
4dose1magic,Magic potion(4),,scripts/_unpack/377/all.obj
4dose2antipoison,Superantipoison(4),,scripts/_unpack/377/all.obj
4dose2attack,Super attack(4),,scripts/_unpack/377/all.obj
4dose2defense,Super defence(4),,scripts/_unpack/377/all.obj
4dose2energy,Super energy(4),,scripts/_unpack/377/all.obj
4dose2restore,Super restore(4),,scripts/_unpack/377/all.obj
4dose2strength,Super strength(4),,scripts/_unpack/377/all.obj
4doseantipoison,Antipoison(4),,scripts/_unpack/377/all.obj
4dosefisherspotion,Fishing potion(4),,scripts/_unpack/377/all.obj
4dosepotionofsaradomin,Saradomin brew(4),,scripts/_unpack/377/all.obj
4dosepotionofzamorak,Zamorak brew(4),,scripts/_unpack/377/all.obj
4doseprayerrestore,Prayer potion(4),,scripts/_unpack/377/all.obj
4doserangerspotion,Ranging potion(4),,scripts/_unpack/377/all.obj
4dosestatrestore,Restore potion(4),,scripts/_unpack/377/all.obj
50_iban_blast,,,scripts/_unpack/377/all.obj
50_magic_dart,,,scripts/_unpack/377/all.obj
50_slayer_dart,,,scripts/_unpack/377/all.obj
50_smoke_rush,,,scripts/_unpack/377/all.obj
50_snare,,,scripts/_unpack/377/all.obj
51_ardougne_teleport,,,scripts/_unpack/377/all.obj
52_shadow_rush,,,scripts/_unpack/377/all.obj
53_earth_blast,,,scripts/_unpack/377/all.obj
54_paddewwa_teleport,,,scripts/_unpack/377/all.obj
55_high_alchemy,,,scripts/_unpack/377/all.obj
56_blood_rush,,,scripts/_unpack/377/all.obj
56_charge_water_orb,,,scripts/_unpack/377/all.obj
57_enchant_amulet_lvl4,,,scripts/_unpack/377/all.obj
58_ice_rush,,,scripts/_unpack/377/all.obj
58_watchtower_teleport,,,scripts/_unpack/377/all.obj
59_fire_blast,,,scripts/_unpack/377/all.obj
60_bones_peaches,,,scripts/_unpack/377/all.obj
60_charge_earth_orb,,,scripts/_unpack/377/all.obj
60_claws_of_guthix,,,scripts/_unpack/377/all.obj
60_flames_of_zamorak,,,scripts/_unpack/377/all.obj
60_saradomin_strike,,,scripts/_unpack/377/all.obj
60_senntisten_teleport,,,scripts/_unpack/377/all.obj
61_trollheim_teleport,,,scripts/_unpack/377/all.obj
62_smoke_burst,,,scripts/_unpack/377/all.obj
62_wind_wave,,,scripts/_unpack/377/all.obj
63_charge_fire_orb,,,scripts/_unpack/377/all.obj
64_ape_atoll_teleport,,,scripts/_unpack/377/all.obj
64_shadow_burst,,,scripts/_unpack/377/all.obj
65_water_wave,,,scripts/_unpack/377/all.obj
66_charge_air_orb,,,scripts/_unpack/377/all.obj
66_kharyllyl_teleport,,,scripts/_unpack/377/all.obj
66_vulnerability,,,scripts/_unpack/377/all.obj
68_blood_burst,,,scripts/_unpack/377/all.obj
68_enchant_amulet_lvl5,,,scripts/_unpack/377/all.obj
70_earth_wave,,,scripts/_unpack/377/all.obj
70_ice_burst,,,scripts/_unpack/377/all.obj
72_lassar_teleport,,,scripts/_unpack/377/all.obj
73_enfeeble,,,scripts/_unpack/377/all.obj
74_smoke_blitz,,,scripts/_unpack/377/all.obj
74_teleother_lumbridge,,,scripts/_unpack/377/all.obj
75_fire_wave,,,scripts/_unpack/377/all.obj
76_shadow_blitz,,,scripts/_unpack/377/all.obj
78_dareeyak_teleport,,,scripts/_unpack/377/all.obj
79_entangle,,,scripts/_unpack/377/all.obj
80_blood_blitz,,,scripts/_unpack/377/all.obj
80_charge,,,scripts/_unpack/377/all.obj
80_stun,,,scripts/_unpack/377/all.obj
82_ice_blitz,,,scripts/_unpack/377/all.obj
82_teleother_falador,,,scripts/_unpack/377/all.obj
84_carrallagar_teleport,,,scripts/_unpack/377/all.obj
85_teleport_block,,,scripts/_unpack/377/all.obj
86_smoke_barrage,,,scripts/_unpack/377/all.obj
87_enchant_amulet_lvl6,,,scripts/_unpack/377/all.obj
88_shadow_barrage,,,scripts/_unpack/377/all.obj
90_annakarl_teleport,,,scripts/_unpack/377/all.obj
90_teleother_camelot,,,scripts/_unpack/377/all.obj
92_blood_barrage,,,scripts/_unpack/377/all.obj
94_ice_barrage,,,scripts/_unpack/377/all.obj
96_ghorrock_teleport,,,scripts/_unpack/377/all.obj
abyssal_whip,Abyssal whip,,scripts/_unpack/377/all.obj
achey_tree_logs,Achey tree logs,,scripts/_unpack/377/all.obj
acne_potion,Potion,,scripts/_unpack/377/all.obj
acorn,Acorn,,scripts/_unpack/377/all.obj
acorns_2,,,scripts/_unpack/377/all.obj
acorns_3,,,scripts/_unpack/377/all.obj
acorns_4,,,scripts/_unpack/377/all.obj
acorns_5,,,scripts/_unpack/377/all.obj
adamant_2h_sword,Adamant 2h sword,,scripts/_unpack/377/all.obj
adamant_armoured_boots,Adamant boots,,scripts/_unpack/377/all.obj
adamant_arrow,Adamant arrow,,scripts/_unpack/377/all.obj
adamant_arrow_2,,,scripts/_unpack/377/all.obj
adamant_arrow_3,,,scripts/_unpack/377/all.obj
adamant_arrow_4,,,scripts/_unpack/377/all.obj
adamant_arrow_5,,,scripts/_unpack/377/all.obj
adamant_arrow_p,Adamant arrow(p),,scripts/_unpack/377/all.obj
adamant_arrow_p_2,,,scripts/_unpack/377/all.obj
adamant_arrow_p_3,,,scripts/_unpack/377/all.obj
adamant_arrow_p_4,,,scripts/_unpack/377/all.obj
adamant_arrow_p_5,,,scripts/_unpack/377/all.obj
adamant_arrowheads,Adamant arrowtips,,scripts/_unpack/377/all.obj
adamant_axe,Adamant axe,,scripts/skill_woodcutting/configs/axes/axes.obj
adamant_battleaxe,Adamant battleaxe,,scripts/_unpack/377/all.obj
adamant_chainbody,Adamant chainbody,,scripts/_unpack/377/all.obj
adamant_claws,Adamant claws,,scripts/skill_combat/configs/melee/claws.obj
adamant_dagger,Adamant dagger,,scripts/_unpack/377/all.obj
adamant_dagger_p,Adamant dagger(p),,scripts/_unpack/377/all.obj
adamant_dart,Adamant dart,,scripts/_unpack/377/all.obj
adamant_dart_p,Adamant dart(p),,scripts/_unpack/377/all.obj
adamant_dart_tip,Adamant dart tip,,scripts/_unpack/377/all.obj
adamant_full_helm,Adamant full helm,,scripts/_unpack/377/all.obj
adamant_full_helm_gold,Adam full helm (g),,scripts/_unpack/377/all.obj
adamant_full_helm_trim,Adam full helm (t),,scripts/_unpack/377/all.obj
adamant_halberd,Adamant halberd,,scripts/_unpack/377/all.obj
adamant_heraldic_kiteshield1,Adam kiteshield(h),,scripts/_unpack/377/all.obj
adamant_heraldic_kiteshield2,Adam kiteshield(h),,scripts/_unpack/377/all.obj
adamant_heraldic_kiteshield3,Adam kiteshield(h),,scripts/_unpack/377/all.obj
adamant_heraldic_kiteshield4,Adam kiteshield(h),,scripts/_unpack/377/all.obj
adamant_heraldic_kiteshield5,Adam kiteshield(h),,scripts/_unpack/377/all.obj
adamant_javelin,Adamant javelin,,scripts/_unpack/377/all.obj
adamant_javelin_p,Adamant javelin(p),,scripts/_unpack/377/all.obj
adamant_kiteshield,Adamant kiteshield,,scripts/_unpack/377/all.obj
adamant_kiteshield_gold,Adam kiteshield (g),,scripts/_unpack/377/all.obj
adamant_kiteshield_trim,Adam kiteshield (t),,scripts/_unpack/377/all.obj
adamant_knife,Adamant knife,,scripts/_unpack/377/all.obj
adamant_knife_p,Adamant knife(p),,scripts/_unpack/377/all.obj
adamant_litarrow,Addy fire arrows,,scripts/_unpack/377/all.obj
adamant_longsword,Adamant longsword,,scripts/_unpack/377/all.obj
adamant_mace,Adamant mace,,scripts/_unpack/377/all.obj
adamant_med_helm,Adamant med helm,,scripts/_unpack/377/all.obj
adamant_pickaxe,Adamant pickaxe,,scripts/_unpack/377/all.obj
adamant_platebody,Adamant platebody,,scripts/_unpack/377/all.obj
adamant_platebody_gold,Adam platebody (g),,scripts/_unpack/377/all.obj
adamant_platebody_trim,Adam platebody (t),,scripts/_unpack/377/all.obj
adamant_platelegs,Adamant platelegs,,scripts/_unpack/377/all.obj
adamant_platelegs_gold,Adam platelegs (g),,scripts/_unpack/377/all.obj
adamant_platelegs_trim,Adam platelegs (t),,scripts/_unpack/377/all.obj
adamant_plateskirt,Adamant plateskirt,,scripts/_unpack/377/all.obj
adamant_plateskirt_gold,Adam plateskirt (g),,scripts/_unpack/377/all.obj
adamant_plateskirt_trim,Adam plateskirt (t),,scripts/_unpack/377/all.obj
adamant_scimitar,Adamant scimitar,,scripts/_unpack/377/all.obj
adamant_spear,Adamant spear,,scripts/_unpack/377/all.obj
adamant_spear_p,Adamant spear(p),,scripts/_unpack/377/all.obj
adamant_sq_shield,Adamant sq shield,,scripts/_unpack/377/all.obj
adamant_sword,Adamant sword,,scripts/_unpack/377/all.obj
adamant_unlitarrow,Addy fire arrows,,scripts/_unpack/377/all.obj
adamantite_bar,Adamantite bar,,scripts/_unpack/377/all.obj
adamantite_ore,Adamantite ore,,scripts/_unpack/377/all.obj
adamnt_thrownaxe,Adamnt thrownaxe,,scripts/_unpack/377/all.obj
adamnt_warhammer,Addy warhammer,,scripts/_unpack/377/all.obj
admiral_pie,Admiral pie,,scripts/_unpack/377/all.obj
agility_balance,Agility balance,,scripts/_unpack/377/all.obj
agility_balance_area,Agility balance,,scripts/_unpack/377/all.obj
agility_climb,Agility climb,,scripts/_unpack/377/all.obj
agility_climb_area,Agility climb,,scripts/_unpack/377/all.obj
agility_contortion,Agility contortion,,scripts/_unpack/377/all.obj
agility_contortion_area,Agility contortion,,scripts/_unpack/377/all.obj
agility_jump,Agility jump,,scripts/_unpack/377/all.obj
agility_jump_area,Agility jump,,scripts/_unpack/377/all.obj
agility_pyramid_gold_pyramid,Pyramid top,,scripts/_unpack/377/all.obj
agilityarena_ticket,Agility arena ticket,,scripts/minigames/game_agilityarena/configs/agilityarena.obj
agrith_book,Demonic tome,,scripts/_unpack/377/all.obj
agrith_desert_robe_dyed,Black desert robe,,scripts/_unpack/377/all.obj
agrith_desert_shirt_dyed,Black desert shirt,,scripts/_unpack/377/all.obj
agrith_sigil,Demonic sigil,,scripts/_unpack/377/all.obj
agrith_sigil_mould,Demonic sigil mould,,scripts/_unpack/377/all.obj
agrith_silverlight_dyed,Silverlight,,scripts/_unpack/377/all.obj
ahoy_bedsheet,Bedsheet,,scripts/_unpack/377/all.obj
ahoy_bedsheetgreen,Bedsheet,,scripts/_unpack/377/all.obj
ahoy_bone_key,Bone key,,scripts/_unpack/377/all.obj
ahoy_book_of_haricanto,Book of haricanto,,scripts/_unpack/377/all.obj
ahoy_chest_key,Chest key,,scripts/_unpack/377/all.obj
ahoy_map_complete,Treasure map,,scripts/_unpack/377/all.obj
ahoy_map_scrap_1,Map scrap,,scripts/_unpack/377/all.obj
ahoy_map_scrap_2,Map scrap,,scripts/_unpack/377/all.obj
ahoy_map_scrap_3,Map scrap,,scripts/_unpack/377/all.obj
ahoy_petition,Petition form,,scripts/_unpack/377/all.obj
ahoy_robes_of_necrovarus,Mystical robes,,scripts/_unpack/377/all.obj
ahoy_toy_boat,Model ship,,scripts/_unpack/377/all.obj
ahoy_toy_boat_repaired,Model ship,,scripts/_unpack/377/all.obj
ahoy_translation_manual,Translation manual,,scripts/_unpack/377/all.obj
air_battlestaff,Air battlestaff,,scripts/_unpack/377/all.obj
air_orb,Air orb,,scripts/_unpack/377/all.obj
air_talisman,Air talisman,,scripts/skill_runecraft/configs/runecraft.obj
airrune,Air rune,,scripts/_unpack/377/all.obj
ale_yeast,Ale yeast,,scripts/_unpack/377/all.obj
ammo_mould,Ammo mould,,scripts/_unpack/377/all.obj
ammonium_nitrate,Ammonium nitrate,,scripts/_unpack/377/all.obj
amulet_mould,Amulet mould,,scripts/_unpack/377/all.obj
amulet_of_accuracy,Amulet of accuracy,,scripts/_unpack/377/all.obj
amulet_of_defence,Amulet of defence,,scripts/_unpack/377/all.obj
amulet_of_ghostspeak,Ghostspeak amulet,,scripts/_unpack/377/all.obj
amulet_of_ghostspeak_enchanted,Ghostspeak amulet,,scripts/_unpack/377/all.obj
amulet_of_glory,Amulet of glory,,scripts/_unpack/377/all.obj
amulet_of_glory_1,Amulet of glory(1),,scripts/_unpack/377/all.obj
amulet_of_glory_2,Amulet of glory(2),,scripts/_unpack/377/all.obj
amulet_of_glory_3,Amulet of glory(3),,scripts/_unpack/377/all.obj
amulet_of_glory_4,Amulet of glory(4),,scripts/_unpack/377/all.obj
amulet_of_magic,Amulet of magic,,scripts/_unpack/377/all.obj
amulet_of_power,Amulet of power,,scripts/_unpack/377/all.obj
amulet_of_strength,Amulet of strength,,scripts/_unpack/377/all.obj
anchovie_pizza,Anchovy pizza,,scripts/skill_cooking/configs/cooking_inv/configs/pizza/pizza.obj
anchovies,Anchovies,,scripts/_unpack/377/all.obj
antidragonbreathshield,Anti-dragon shield,,scripts/_unpack/377/all.obj
anvil_icon_dummy,,,scripts/_unpack/377/all.obj
apple_mush,Apple mush,,scripts/_unpack/377/all.obj
apple_pie,Apple pie,,scripts/skill_cooking/configs/cooking_inv/configs/pies/pies.obj
apple_seed_2,,,scripts/_unpack/377/all.obj
apple_seed_3,,,scripts/_unpack/377/all.obj
apple_seed_4,,,scripts/_unpack/377/all.obj
apple_seed_5,,,scripts/_unpack/377/all.obj
apple_tree_seed,Apple tree seed,,scripts/_unpack/377/all.obj
applebarrel_full,Rotten apples,,scripts/_unpack/377/all.obj
arcenia_root,Arcenia root,,scripts/_unpack/377/all.obj
archery_ticket,Archery ticket,,scripts/_unpack/377/all.obj
ardougne_book,Guide book,,scripts/_unpack/377/all.obj
ardougnescroll,A magic scroll,,scripts/_unpack/377/all.obj
ardrigal,Ardrigal,,scripts/_unpack/377/all.obj
ardrigal_sol,Ardrigal mixture,,scripts/_unpack/377/all.obj
arravcertificate,Certificate,,scripts/_unpack/377/all.obj
arravshield1,Broken shield,,scripts/_unpack/377/all.obj
arravshield2,Broken shield,,scripts/_unpack/377/all.obj
arrow_shaft,Arrow shaft,,scripts/_unpack/377/all.obj
arrow_shaft_2,,,scripts/_unpack/377/all.obj
arrow_shaft_3,,,scripts/_unpack/377/all.obj
arrow_shaft_4,,,scripts/_unpack/377/all.obj
arrow_shaft_5,,,scripts/_unpack/377/all.obj
asgarnian_ale,Asgarnian ale,,scripts/skill_cooking/configs/cooking_generic/cooking.obj
asgarnian_hop_seed,Asgarnian seed,,scripts/_unpack/377/all.obj
asgarnian_hop_seed_2,,,scripts/_unpack/377/all.obj
asgarnian_hop_seed_3,,,scripts/_unpack/377/all.obj
asgarnian_hop_seed_4,,,scripts/_unpack/377/all.obj
asgarnian_hop_seed_5,,,scripts/_unpack/377/all.obj
asgarnian_hops,Asgarnian hops,,scripts/_unpack/377/all.obj
ashes,Ashes,,scripts/_unpack/377/all.obj
ashesvial,Unfinished potion,,scripts/_unpack/377/all.obj
avan_crest,Crest part,,scripts/_unpack/377/all.obj
avantoe,Avantoe,,scripts/skill_herblore/configs/herbs.obj
avantoe_seed,Avantoe seed,,scripts/_unpack/377/all.obj
avantoevial,Unfinished potion,,scripts/_unpack/377/all.obj
axemans_folly,Axeman's folly,,scripts/_unpack/377/all.obj
babydragon_bones,Babydragon bones,,scripts/skill_prayer/configs/bones.obj
baguette,Baguette,,scripts/_unpack/377/all.obj
ball,Ball,,scripts/_unpack/377/all.obj
ball_gnomeball_game,Gnomeball,,scripts/_unpack/377/all.obj
ball_of_wool,Ball of wool,,scripts/_unpack/377/all.obj
banana,Banana,,scripts/skill_cooking/configs/cooking_generic/cooking.obj
banana_left,Banana left,,scripts/_unpack/377/all.obj
banana_seed_2,,,scripts/_unpack/377/all.obj
banana_seed_3,,,scripts/_unpack/377/all.obj
banana_seed_4,,,scripts/_unpack/377/all.obj
banana_seed_5,,,scripts/_unpack/377/all.obj
banana_tree_seed,Banana tree seed,,scripts/_unpack/377/all.obj
bandit_brew,Bandit's brew,,scripts/_unpack/377/all.obj
bank_icon_dummy,,,scripts/_unpack/377/all.obj
barbed_bolt,Barbed bolts,,scripts/_unpack/377/all.obj
barbed_bolt2,,,scripts/_unpack/377/all.obj
barbed_bolt3,,,scripts/_unpack/377/all.obj
barbed_bolt4,,,scripts/_unpack/377/all.obj
barbed_bolts,,,scripts/_unpack/377/all.obj
barbed_bolttips,Barb bolttips,,scripts/_unpack/377/all.obj
barcrawl_card,Barcrawl card,,scripts/_unpack/377/all.obj
barley,Barley,,scripts/_unpack/377/all.obj
barley_malt,Barley malt,,scripts/_unpack/377/all.obj
barley_seed,Barley seed,,scripts/_unpack/377/all.obj
barley_seed_2,,,scripts/_unpack/377/all.obj
barley_seed_3,,,scripts/_unpack/377/all.obj
barley_seed_4,,,scripts/_unpack/377/all.obj
barley_seed_5,,,scripts/_unpack/377/all.obj
barrows_ahrim_body,Ahrims robetop,,scripts/_unpack/377/all.obj
barrows_ahrim_body_100,Ahrims top 100,,scripts/_unpack/377/all.obj
barrows_ahrim_body_25,Ahrims top 25,,scripts/_unpack/377/all.obj
barrows_ahrim_body_50,Ahrims top 50,,scripts/_unpack/377/all.obj
barrows_ahrim_body_75,Ahrims top 75,,scripts/_unpack/377/all.obj
barrows_ahrim_body_broken,Ahrims top 0,,scripts/_unpack/377/all.obj
barrows_ahrim_head,Ahrims hood,,scripts/_unpack/377/all.obj
barrows_ahrim_head_100,Ahrims hood 100,,scripts/_unpack/377/all.obj
barrows_ahrim_head_25,Ahrims hood 25,,scripts/_unpack/377/all.obj
barrows_ahrim_head_50,Ahrims hood 50,,scripts/_unpack/377/all.obj
barrows_ahrim_head_75,Ahrims hood 75,,scripts/_unpack/377/all.obj
barrows_ahrim_head_broken,Ahrims hood 0,,scripts/_unpack/377/all.obj
barrows_ahrim_legs,Ahrims robeskirt,,scripts/_unpack/377/all.obj
barrows_ahrim_legs_100,Ahrims skirt 100,,scripts/_unpack/377/all.obj
barrows_ahrim_legs_25,Ahrims skirt 25,,scripts/_unpack/377/all.obj
barrows_ahrim_legs_50,Ahrims skirt 50,,scripts/_unpack/377/all.obj
barrows_ahrim_legs_75,Ahrims skirt 75,,scripts/_unpack/377/all.obj
barrows_ahrim_legs_broken,Ahrims skirt 0,,scripts/_unpack/377/all.obj
barrows_ahrim_weapon,Ahrims staff,,scripts/_unpack/377/all.obj
barrows_ahrim_weapon_100,Ahrims staff 100,,scripts/_unpack/377/all.obj
barrows_ahrim_weapon_25,Ahrims staff 25,,scripts/_unpack/377/all.obj
barrows_ahrim_weapon_50,Ahrims staff 50,,scripts/_unpack/377/all.obj
barrows_ahrim_weapon_75,Ahrims staff 75,,scripts/_unpack/377/all.obj
barrows_ahrim_weapon_broken,Ahrims staff 0,,scripts/_unpack/377/all.obj
barrows_book_history,Crumbling tome,,scripts/_unpack/377/all.obj
barrows_dharok_body,Dharoks platebody,,scripts/_unpack/377/all.obj
barrows_dharok_body_100,Dharoks body 100,,scripts/_unpack/377/all.obj
barrows_dharok_body_25,Dharoks body 25,,scripts/_unpack/377/all.obj
barrows_dharok_body_50,Dharoks body 50,,scripts/_unpack/377/all.obj
barrows_dharok_body_75,Dharoks body 75,,scripts/_unpack/377/all.obj
barrows_dharok_body_broken,Dharoks body 0,,scripts/_unpack/377/all.obj
barrows_dharok_head,Dharoks helm,,scripts/_unpack/377/all.obj
barrows_dharok_head_100,Dharoks helm 100,,scripts/_unpack/377/all.obj
barrows_dharok_head_25,Dharoks helm 25,,scripts/_unpack/377/all.obj
barrows_dharok_head_50,Dharoks helm 50,,scripts/_unpack/377/all.obj
barrows_dharok_head_75,Dharoks helm 75,,scripts/_unpack/377/all.obj
barrows_dharok_head_broken,Dharoks helm 0,,scripts/_unpack/377/all.obj
barrows_dharok_legs,Dharoks platelegs,,scripts/_unpack/377/all.obj
